x,y,data,auxilary
619938.200 ,4302261.000 ,0.322 ,0.432 
620224.000 ,4301709.800 ,0.265 ,0.816 
617282.700 ,4302776.300 ,0.299 ,0.322 
618087.800 ,4301366.900 ,0.231 ,0.459 
617566.800 ,4302386.200 ,0.300 ,0.473 
617972.400 ,4304492.700 ,0.261 ,0.421 
617784.500 ,4302511.300 ,0.243 ,0.478 
617221.400 ,4301318.100 ,0.281 ,0.659 
618056.500 ,4302473.100 ,0.310 ,0.564 
619330.400 ,4302007.700 ,0.290 ,0.254 
620131.600 ,4303726.500 ,0.251 ,0.395 
617587.000 ,4304305.100 ,0.269 ,0.620 
617758.300 ,4303571.200 ,0.190 ,0.615 
619304.900 ,4302215.900 ,0.314 ,0.345 
616900.200 ,4302297.300 ,0.300 ,0.640 
618491.800 ,4304191.200 ,0.243 ,0.517 
617398.000 ,4302960.000 ,0.297 ,0.377 
619298.400 ,4304240.500 ,0.348 ,0.438 
616990.800 ,4303616.100 ,0.232 ,0.412 
617036.300 ,4304270.300 ,0.318 ,0.396 
617337.800 ,4303244.500 ,0.269 ,0.506 
619863.800 ,4303020.800 ,0.222 ,0.744 
616960.500 ,4304571.500 ,0.210 ,0.428 
618387.500 ,4304454.700 ,0.230 ,0.459 
619980.800 ,4301453.400 ,0.340 ,0.431 
618746.600 ,4304114.100 ,0.289 ,0.387 
620126.800 ,4302142.300 ,0.321 ,0.612 
616616.300 ,4304381.800 ,0.224 ,0.408 
617191.900 ,4303535.600 ,0.254 ,0.243 
617705.600 ,4301459.200 ,0.358 ,0.358 
619883.900 ,4301750.200 ,0.302 ,0.433 
617691.200 ,4301957.900 ,0.296 ,0.394 
616575.000 ,4303147.400 ,0.209 ,0.336 
618463.600 ,4304025.200 ,0.274 ,0.437 
618264.700 ,4303140.500 ,0.249 ,0.471 
618027.300 ,4301973.300 ,0.299 ,0.294 
618674.700 ,4304704.300 ,0.245 ,0.618 
619431.400 ,4303916.300 ,0.305 ,0.111 
620191.700 ,4303395.200 ,0.311 ,0.325 
618494.000 ,4302047.300 ,0.319 ,0.411 
616742.400 ,4304447.100 ,0.308 ,0.446 
618343.300 ,4303606.800 ,0.218 ,0.553 
